Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
3,2,20,0.169
3,2,28,0.184
3,2,20,0.186
3,2,28,0.175
3,2,20,0.183
3,2,14,0.14
3,2,14,0.141
3,2,20,0.174
3,2,28,0.176
3,2,8,0.081
3,2,22,0.165
3,2,26,0.198
3,2,16,0.156
3,2,20,0.168
3,2,14,0.14
3,2,20,0.148
3,2,22,0.185
3,2,16,0.14
3,2,14,0.139
3,2,16,0.157
3,2,16,0.161
3,2,18,0.174
3,2,20,0.15
3,2,28,0.171
3,2,24,0.169
3,2,24,0.193
3,2,36,0.203
3,2,24,0.175
3,2,20,0.18
3,2,10,0.102
3,2,18,0.182
3,2,18,0.177
3,2,28,0.166
3,2,10,0.102
3,2,16,0.136
3,2,10,0.103
3,2,20,0.172
3,2,28,0.179
3,1,11,0.099
3,2,16,0.153
3,2,24,0.166
3,2,20,0.146
3,2,14,0.141
3,2,22,0.18
3,2,14,0.14
3,2,18,0.173
3,2,12,0.121
3,2,28,0.18
3,2,10,0.102
3,2,26,0.176

Number of wins,Number of losses,Number of draws,Percentage of winsAverage number of moves to win,Average time for each game
49,1,0,98.0,19.55,0.158
