Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
5,2,28,0.373
5,2,20,0.426
5,2,18,0.268
5,2,20,0.255
5,2,22,0.423
5,2,22,0.529
5,2,30,0.46
5,2,24,0.77
5,2,22,0.417
5,2,24,0.421
5,2,14,0.279
5,2,22,0.458
5,2,18,0.371
5,1,35,0.401
5,2,28,0.669
5,2,16,0.344
5,2,24,0.532
5,2,18,0.43
5,2,20,0.386
5,2,20,0.39
5,2,22,0.502
5,2,20,0.316
5,2,20,0.367
5,2,20,0.3
5,2,12,0.321
5,2,24,0.416
5,2,18,0.362
5,2,20,0.376
5,2,20,0.397
5,2,24,0.45
5,2,30,0.523
5,2,22,0.379
5,2,18,0.279
5,2,20,0.352
5,2,26,0.338
5,2,12,0.571
5,2,24,0.364
5,2,26,0.351
5,2,24,0.33
5,2,18,0.415
5,2,22,0.339
5,2,20,0.367
5,2,10,0.326
5,2,22,0.346
5,2,10,0.261
5,2,12,0.426
5,2,24,0.444
5,2,24,0.317
5,2,22,0.296
5,2,16,0.292
5,2,24,0.478
5,2,24,0.49
5,2,30,0.295
5,2,18,0.409
5,2,16,0.593
5,1,29,0.324
5,2,22,0.35
5,2,18,0.532
5,2,20,0.309
5,2,26,0.361
5,2,30,0.354
5,2,18,0.263
5,2,20,0.297
5,2,20,0.321
5,2,22,0.453
5,2,18,0.369
5,2,18,0.367
5,2,20,0.307
5,2,18,0.382
5,2,28,0.451
5,2,24,0.315
5,2,24,0.469
5,2,22,0.48
5,2,24,0.404
5,2,14,0.586
5,2,20,0.238
5,2,30,0.282
5,1,31,0.555
5,2,22,0.286
5,2,20,0.573
5,2,16,0.394
5,2,10,0.359
5,2,20,0.317
5,2,20,0.39
5,2,20,0.344
5,2,18,0.293
5,2,20,0.461
5,2,20,0.337
5,2,28,0.523
5,2,22,0.59
5,2,24,0.416
5,2,24,0.411
5,2,20,0.368
5,2,22,0.293
5,2,18,0.368
5,2,28,0.361
5,2,26,0.439
5,2,24,0.315
5,2,18,0.284
5,2,24,0.356
5,2,24,0.312
5,2,32,0.448
5,2,22,0.518
5,2,20,0.48
5,2,24,0.487
5,2,22,0.286
5,2,12,0.281
5,2,22,0.431
5,2,26,0.517
5,2,18,0.252
5,2,22,0.426
5,2,18,0.294
5,2,28,0.374
5,2,18,0.33
5,1,37,0.51
5,2,12,0.426
5,2,26,0.454
5,2,26,0.338
5,2,18,0.257
5,2,14,0.397
5,2,22,0.389
5,2,26,0.567
5,2,18,0.327
5,2,24,0.356
5,2,28,0.568
5,2,22,0.322
5,2,22,0.424
5,2,20,0.327
5,2,22,0.449
5,2,24,0.399
5,1,29,0.283
5,2,20,0.361
5,2,24,0.385
5,2,18,0.338
5,2,20,0.285
5,2,30,0.395
5,2,32,0.458
5,2,16,0.346
5,2,16,0.336
5,1,37,0.478
5,2,16,0.379
5,2,26,0.386
5,2,20,0.313
5,2,22,0.378
5,2,12,0.391
5,2,34,0.437
5,1,25,0.312
5,2,24,0.667
5,1,35,0.443
5,2,16,0.318
5,2,16,0.361
5,2,22,0.331
5,1,37,0.441
5,2,18,0.271
5,2,20,0.335
5,2,24,0.359
5,2,22,0.429
5,2,24,0.564
5,2,18,0.228
5,2,18,0.416
5,2,24,0.336
5,2,26,0.605
5,2,22,0.388
5,2,20,0.407
5,2,16,0.593
5,2,24,0.486
5,2,28,0.336
5,2,18,0.407
5,2,20,0.408
5,2,20,0.348
5,2,14,0.293
5,2,16,0.29
5,2,20,0.446
5,2,16,0.27
5,2,16,0.334
5,2,20,0.551
5,2,18,0.292
5,2,34,0.523
5,2,22,0.331
5,2,26,0.338
5,2,28,0.433
5,2,18,0.312
5,2,28,0.38
5,2,18,0.546
5,2,20,0.291
5,2,24,0.276
5,1,35,0.371
5,2,20,0.411
5,2,18,0.45
5,2,22,0.517
5,2,32,0.32
5,2,16,0.322
5,2,20,0.263
5,2,16,0.48
5,2,22,0.606
5,2,16,0.381
5,2,22,0.23
5,2,24,0.382
5,2,24,0.466
5,2,30,0.464
5,1,33,0.362
5,2,24,0.507
5,2,20,0.344
5,2,18,0.432
5,2,18,0.399
5,2,28,0.438
5,2,18,0.506
5,2,30,0.686
5,2,16,0.385
5,2,22,0.262
5,2,26,0.363
5,2,26,0.58
5,2,28,0.583
5,1,35,0.488
5,2,26,0.414
5,2,20,0.313
5,2,24,0.461
5,2,30,0.47
5,2,22,0.278
5,2,30,0.599
5,2,22,0.506
5,2,16,0.242
5,2,20,0.348
5,2,18,0.282
5,2,24,0.496
5,2,18,0.349
5,2,22,0.457
5,2,26,0.4
5,2,18,0.282
5,2,16,0.256
5,2,10,0.269
5,2,20,0.319
5,2,24,0.382
5,2,20,0.447
5,1,31,0.395
5,2,22,0.282
5,2,10,0.371
5,2,18,0.253
5,2,18,0.264
5,2,24,0.367
5,2,20,0.251
5,2,28,0.481
5,2,16,0.273
5,2,20,0.278
5,2,20,0.418
5,1,37,0.448
5,2,26,0.439
5,2,26,0.455
5,2,20,0.404
5,2,20,0.38

Number of wins,Number of losses,Number of draws,Percentage of wins,Average number of moves to win,Average time for each game
236,14,0,94.4,21.31,0.393
