Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
3,2,16,0.064
3,2,12,0.041
3,2,24,0.082
3,2,20,0.07
3,2,14,0.053
3,2,30,0.087
3,1,19,0.077
3,2,16,0.065
3,2,32,0.075
3,2,10,0.037
3,2,34,0.086
3,2,10,0.029
3,2,18,0.079
3,2,18,0.067
3,2,24,0.075
3,2,34,0.086
3,1,19,0.064
3,2,28,0.077
3,2,20,0.077
3,2,14,0.056
3,1,37,0.084
3,2,28,0.089
3,2,22,0.092
3,2,16,0.076
3,2,18,0.061
3,2,18,0.062
3,2,18,0.068
3,2,24,0.068
3,2,24,0.08
3,2,22,0.059
3,2,18,0.064
3,2,24,0.089
3,2,24,0.082
3,2,34,0.098
3,2,18,0.055
3,2,26,0.07
3,2,26,0.08
3,1,17,0.08
3,2,28,0.084
3,1,33,0.071
3,2,18,0.065
3,2,16,0.07
3,2,10,0.049
3,2,20,0.065
3,2,24,0.072
3,2,18,0.071
3,2,18,0.089
3,2,16,0.079
3,2,16,0.057
3,2,22,0.08

Number of wins,Number of losses,Number of draws,Percentage of winsAverage number of moves to win,Average time for each game
45,5,0,90.0,20.89,0.071
