Game tree depth,Winner (1/2),Number of moves,Time taken (seconds)
5,2,12,0.42
5,2,20,0.404
5,2,20,0.398
5,1,31,0.332
5,2,26,0.348
5,2,28,0.396
5,2,22,0.311
5,1,29,0.43
5,2,32,0.468
5,2,20,0.438
5,2,20,0.304
5,1,33,0.314
5,2,30,0.556
5,2,20,0.638
5,2,24,0.355
5,2,16,0.356
5,2,20,0.447
5,2,18,0.324
5,2,20,0.239
5,2,28,0.451
5,2,14,0.466
5,2,20,0.395
5,2,32,0.379
5,2,12,0.391
5,2,14,0.449
5,2,26,0.568
5,2,20,0.311
5,2,18,0.468
5,2,24,0.481
5,2,16,0.305
5,2,28,0.427
5,2,20,0.321
5,2,20,0.513
5,2,28,0.321
5,2,22,0.508
5,1,31,0.384
5,2,22,0.384
5,2,30,0.546
5,2,20,0.518
5,2,22,0.505
5,2,20,0.414
5,2,26,0.549
5,2,22,0.264
5,2,18,0.267
5,2,28,0.662
5,2,22,0.493
5,2,18,0.5
5,2,32,0.474
5,2,18,0.283
5,2,26,0.428

Number of wins,Number of losses,Number of draws,Percentage of winsAverage number of moves to win,Average time for each game
46,4,0,92.0,22.04,0.418
